##############        GENERATION 0  ###############
2 0 ['GioGenetic', 'GioNoMinimax'] ['47', '7', '2', '* winner: lower'] -5453
2 1 ['GioGenetic', 'GioNoMinimax'] ['38', '7', '3', '* winner: lower'] -5362
2 2 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '6', '* winner: upper'] -5067
2 3 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '4', '* winner: lower'] -5268
2 4 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '7', '* winner: upper'] -4972
2 5 ['GioGenetic', 'GioNoMinimax'] ['26', '7', '3', '* winner: lower'] -5374
2 6 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '6', '* winner: upper'] -5074
2 7 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '7', '* winner: upper'] -4969
2 8 ['GioGenetic', 'GioNoMinimax'] ['30', '6', '6', '* winner: lower'] -4970
2 9 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '4', '* winner: upper'] -5270
fitness value of chromosome 2 :   -51779
3 0 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '2', '* winner: lower'] -5472
3 1 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '4', '* winner: lower'] -5268
3 2 ['GioGenetic', 'GioNoMinimax'] ['24', '6', '7', '* winner: upper'] 5124
3 3 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '1', '* winner: upper'] -5565
3 4 ['GioGenetic', 'GioNoMinimax'] ['45', '7', '4', '* winner: lower'] -5255
3 5 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '2', '* winner: lower'] -5470
3 6 ['GioGenetic', 'GioNoMinimax'] ['22', '7', '3', '* winner: lower'] -5378
3 7 ['GioNoMinimax', 'GioGenetic'] ['43', '7', '3', '* winner: upper'] -5357
3 8 ['GioNoMinimax', 'GioGenetic'] ['27', '8', '2', '* winner: upper'] -5573
3 9 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '6', '* winner: upper'] -5065
fitness value of chromosome 3 :   -43279
4 0 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '4', '* winner: lower'] -5267
4 1 ['GioGenetic', 'GioNoMinimax'] ['36', '7', '2', '* winner: lower'] -5464
4 2 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '1', '* winner: upper'] -5573
4 3 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '1', '* winner: upper'] -5571
4 4 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '3', '* winner: upper'] -5371
4 5 ['GioGenetic', 'GioNoMinimax'] ['40', '7', '4', '* winner: lower'] -5260
4 6 ['GioNoMinimax', 'GioGenetic'] ['24', '7', '5', '* winner: upper'] -5176
4 7 ['GioNoMinimax', 'GioGenetic'] ['49', '7', '3', '* winner: upper'] -5351
4 8 ['GioGenetic', 'GioNoMinimax'] ['25', '8', '3', '* winner: lower'] -5475
4 9 ['GioGenetic', 'GioNoMinimax'] ['26', '7', '3', '* winner: lower'] -5374
fitness value of chromosome 4 :   -53882
5 0 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '5', '* winner: lower'] -5167
5 1 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '3', '* winner: upper'] -5373
5 2 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '5', '* winner: upper'] -5169
5 3 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '6', '* winner: upper'] -5073
5 4 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '4', '* winner: upper'] -5274
5 5 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '4', '* winner: lower'] -5273
5 6 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '4', '* winner: upper'] -5272
5 7 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '4', '* winner: lower'] -5269
5 8 ['GioNoMinimax', 'GioGenetic'] ['36', '7', '3', '* winner: upper'] -5364
5 9 ['GioNoMinimax', 'GioGenetic'] ['36', '7', '6', '* winner: upper'] -5064
fitness value of chromosome 5 :   -52298
6 0 ['GioGenetic', 'GioNoMinimax'] ['24', '7', '2', '* winner: lower'] -5476
6 1 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '2', '* winner: upper'] -5477
6 2 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '3', '* winner: lower'] -5371
6 3 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '4', '* winner: upper'] -5269
6 4 ['GioNoMinimax', 'GioGenetic'] ['25', '7', '2', '* winner: upper'] -5475
6 5 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '3', '* winner: upper'] -5374
6 6 ['GioGenetic', 'GioNoMinimax'] ['38', '7', '6', '* winner: lower'] -5062
6 7 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '3', '* winner: upper'] -5373
6 8 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '2', '* winner: lower'] -5466
6 9 ['GioGenetic', 'GioNoMinimax'] ['25', '7', '3', '* winner: lower'] -5375
fitness value of chromosome 6 :   -53718
7 0 ['GioNoMinimax', 'GioGenetic'] ['37', '7', '3', '* winner: upper'] -5363
7 1 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '4', '* winner: lower'] -5272
7 2 ['GioNoMinimax', 'GioGenetic'] ['38', '7', '6', '* winner: upper'] -5062
